FIGHTER,WEIGHT,AGE,HEIGHT,REACH,STANCE,SLpM,Str. Acc %,TD Avg 15min,TD Acc %,Sub. Avg 15min,SApM,Str. Def %,TD Def. %
Thiago Alves,170 lbs.,42.156164383561645,175.26,177.8,Orthodox,3.73,0.41,0.71,0.6,0.3,3.42,0.62,0.63
Anthony Alves,--,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amilcar Alves,170 lbs.,37.3041095890411,182.88,,Southpaw,0.5,0.46,0.0,0.0,0.0,2.02,0.3,0.53
Warlley Alves,185 lbs.,34.895890410958906,180.34,182.88,Orthodox,3.04,0.48,1.22,0.5,0.8,3.95,0.5,0.62
Rafael Alves,155 lbs.,35.035616438356165,172.72,172.72,Orthodox,1.85,0.48,0.29,0.25,1.5,3.3,0.58,0.44
Sam Alvey,185 lbs.,39.56438356164384,187.96,190.5,Southpaw,3.28,0.44,0.06,0.14,0.1,3.63,0.52,0.82
Christopher Alvidrez,170 lbs.,28.912328767123288,182.88,187.96,Orthodox,6.97,0.62,0.0,0.0,0.0,2.11,0.5,1.0
Mahamed Aly,205 lbs.,31.873972602739727,187.96,198.12,Orthodox,6.0,0.66,0.0,0.0,0.0,12.0,0.33,0.0
Andre Amado,154 lbs.,42.13972602739726,182.88,,Orthodox,2.27,0.24,0.0,0.0,0.0,5.91,0.63,0.2
Adlan Amagov,170 lbs.,39.07945205479452,187.96,193.04,Orthodox,3.29,0.47,5.84,0.56,0.0,0.82,0.78,1.0
Maiara Amanajas dos Santos,115 lbs.,38.38356164383562,165.1,,Southpaw,5.53,0.35,0.0,0.0,0.0,24.47,0.33,1.0
Chris Amarante,185 lbs.,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Ambriz,315 lbs.,55.84931506849315,187.96,,Southpaw,0.83,0.29,3.13,0.57,0.8,3.76,0.4,1.0
JJ Ambrose,170 lbs.,38.80821917808219,177.8,,Orthodox,3.16,0.69,0.0,0.0,0.0,6.32,0.33,0.5
Alen Amedovski,185 lbs.,37.64383561643836,177.8,187.96,Orthodox,0.99,0.3,0.0,0.0,0.0,3.85,0.46,0.0
Hyder Amil,145 lbs.,35.5013698630137,175.26,177.8,Switch,6.84,0.57,0.77,0.2,1.2,4.18,0.51,0.81
Hamid Amiri,145 lbs.,22.443835616438356,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Makwan Amirkhani,145 lbs.,37.05205479452055,177.8,182.88,Southpaw,1.33,0.44,3.96,0.43,1.1,2.98,0.46,0.35
Jaqueline Amorim,115 lbs.,30.424657534246574,160.02,172.72,Orthodox,2.43,0.5,2.16,0.36,3.8,2.16,0.54,0.0
Bertrand Amoussou,190 lbs.,59.51780821917808,172.72,,Orthodox,6.75,0.39,0.0,0.0,0.0,2.01,0.83,0.0
Karl Amoussou,185 lbs.,40.01917808219178,180.34,,Orthodox,1.47,0.34,0.0,0.0,1.0,2.67,0.54,0.25
Eryk Anders,185 lbs.,38.605479452054794,185.42000000000002,190.5,Southpaw,3.51,0.48,1.75,0.24,0.1,4.09,0.5,0.8
Matt Andersen,230 lbs.,54.512328767123286,187.96,,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Anderson,240 lbs.,51.37808219178082,167.64000000000001,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lowell Anderson,160 lbs.,,167.64000000000001,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corey Anderson,205 lbs.,36.18082191780822,190.5,200.66,Orthodox,4.43,0.46,4.89,0.5,0.0,2.22,0.59,0.83
Derek Anderson,155 lbs.,35.81643835616438,182.88,,,3.97,0.37,0.34,0.14,0.0,3.08,0.61,0.6
Megan Anderson,145 lbs.,35.79178082191781,182.88,182.88,Orthodox,1.76,0.46,0.52,0.25,0.5,3.35,0.37,0.53
Liam Anderson,185 lbs.,30.86849315068493,190.5,190.5,Orthodox,3.0,0.52,1.0,0.2,0.0,6.53,0.31,0.5
Tatsuya Ando,145 lbs.,35.58904109589041,162.56,172.72,Southpaw,0.93,0.19,0.0,0.0,0.0,4.93,0.5,0.0
