EVENT,BOUT,WEIGHTCLASS,METHOD,ROUND,TIME,DETAILS,WINNER,LOSER,TOTAL ROUNDS,AGE.DIFF.WINNER,REACH.DIFF.WINNER,HEIGHT.DIFF.WINNER
UFC 171: Hendricks vs Lawler ,Kelvin Gastelum  vs. Rick Story ,Welterweight Bout,Decision,3,5:00,Doug Crosby 29 - 28.Aladin Martinez 28 - 29.Mike Gonzalez 27 - 30.,Kelvin Gastelum,Rick Story,3.0,-7.158904109589045,0.0,0.0
UFC 171: Hendricks vs Lawler ,Raquel Pennington  vs. Jessica Andrade ,Women's Bantamweight Bout,Decision,3,5:00,Aladin Martinez 28 - 29.Dan Mathisen 29 - 28.Troy Wincapaw 28 - 29.,Jessica Andrade,Raquel Pennington,3.0,-3.0547945205479436,-12.700000000000017,-15.240000000000009
UFC 171: Hendricks vs Lawler ,Dennis Bermudez  vs. Jimy Hettes ,Featherweight Bout,KO/TKO,3,2:57,Knee to Head In Clinch ,Dennis Bermudez,Jimy Hettes,3.0,0.487671232876707,-12.700000000000017,-7.6200000000000045
UFC 171: Hendricks vs Lawler ,Sean Spencer  vs. Alex Garcia ,Welterweight Bout,Decision,3,5:00,Troy Wincapaw 28 - 29.Dan Mathisen 29 - 28.Aladin Martinez 27 - 30.,Alex Garcia,Sean Spencer,3.0,-0.052054794520557834,-5.0800000000000125,-2.5400000000000205
UFC 171: Hendricks vs Lawler ,Renee Forte  vs. Francisco Trevino ,Lightweight Bout,Decision,3,5:00,Mike Gonzalez 28 - 29.Dan Mathisen 28 - 29.Troy Wincapaw 28 - 29.,Francisco Trevino,Renee Forte,3.0,5.276712328767125,-2.539999999999992,5.079999999999984
UFC 171: Hendricks vs Lawler ,Will Campuzano  vs. Justin Scoggins ,Flyweight Bout,Decision,3,5:00,Doug Crosby 27 - 30.Aladin Martinez 27 - 30.Troy Wincapaw 27 - 30.,Justin Scoggins,Will Campuzano,3.0,-5.936986301369863,-10.160000000000025,-5.079999999999984
UFC 171: Hendricks vs Lawler ,Robert McDaniel  vs. Sean Strickland ,Middleweight Bout,Submission,1,4:33,Rear Naked Choke ,Sean Strickland,Robert McDaniel,3.0,-7.827397260273976,2.539999999999992,-5.0800000000000125
UFC 171: Hendricks vs Lawler ,Daniel Pineda  vs. Robert Whiteford ,Featherweight Bout,Decision,3,5:00,Doug Crosby 27 - 30.Mike Gonzalez 28 - 29.Dan Mathisen 28 - 29.,Robert Whiteford,Daniel Pineda,3.0,2.320547945205483,0.0,5.079999999999984
UFC Fight Night: Gustafsson vs Manuwa ,Alexander Gustafsson  vs. Jimi Manuwa ,Light Heavyweight Bout,KO/TKO,2,1:18,Knee to Head In Clinch ,Alexander Gustafsson,Jimi Manuwa,5.0,-6.912328767123292,0.0,10.160000000000025
UFC Fight Night: Gustafsson vs Manuwa ,Michael Johnson  vs. Melvin Guillard ,Lightweight Bout,Decision,3,5:00,Ben Cartlidge 27 - 30.Chris Watts 27 - 30.Tom Harris 28 - 29.,Michael Johnson,Melvin Guillard,3.0,-3.183561643835617,5.079999999999984,2.5400000000000205
UFC Fight Night: Gustafsson vs Manuwa ,Brad Pickett  vs. Neil Seery ,Flyweight Bout,Decision,3,5:00,Tom Harris 27 - 30.Andy Roberts 27 - 30.Ben Cartlidge 28 - 29.,Brad Pickett,Neil Seery,3.0,0.9315068493150633,10.159999999999997,5.079999999999984
UFC Fight Night: Gustafsson vs Manuwa ,Gunnar Nelson  vs. Omari Akhmedov ,Welterweight Bout,Submission,1,4:36,Guillotine Choke On Ground ,Gunnar Nelson,Omari Akhmedov,3.0,-0.7945205479452042,-2.539999999999992,-2.539999999999992
UFC Fight Night: Gustafsson vs Manuwa ,Cyrille Diabate  vs. Ilir Latifi ,Light Heavyweight Bout,Submission,1,3:02,Guillotine Choke On Ground ,Ilir Latifi,Cyrille Diabate,3.0,-8.81369863013699,-20.32000000000002,-20.319999999999993
UFC Fight Night: Gustafsson vs Manuwa ,Luke Barnatt  vs. Mats Nilsson ,Middleweight Bout,KO/TKO,1,4:24,Kick to Head At Distance ,Luke Barnatt,Mats Nilsson,3.0,-4.358904109589041,,12.700000000000017
UFC Fight Night: Gustafsson vs Manuwa ,Brad Scott  vs. Claudio Silva ,Middleweight Bout,Decision,3,5:00,Mark Collett 28 - 29.Howard Hughes 28 - 29.Andy Roberts 28 - 29.,Claudio Silva,Brad Scott,3.0,6.802739726027397,-12.699999999999989,-5.079999999999984
UFC Fight Night: Gustafsson vs Manuwa ,Igor Araujo  vs. Danny Mitchell ,Welterweight Bout,Decision,3,5:00,Mark Collett 27 - 30.Howard Hughes 27 - 30.Chris Watts 27 - 30.,Igor Araujo,Danny Mitchell,3.0,5.673972602739724,,-2.5400000000000205
UFC Fight Night: Gustafsson vs Manuwa ,Phil Harris  vs. Louis Gaudinot ,Flyweight Bout,NC,1,1:13,Failed Drug Test by Gaudinot,,,3.0,,,
UFC Fight Night: Kim vs Hathaway ,Dong Hyun Kim  vs. John Hathaway ,Welterweight Bout,KO/TKO,3,1:02,Spinning Back Elbow to Head At DistanceSpinning Back Elbow,Dong Hyun Kim,John Hathaway,5.0,5.682191780821917,2.539999999999992,2.5400000000000205
UFC Fight Night: Kim vs Hathaway ,Sai Wang  vs. Zhang Lipeng ,Ultimate Fighter China Welterweight Tournament Title Bout,Decision,3,5:00,Howard Hughes 28 - 29.Tom Harris 30 - 27.Chris Watts 28 - 29.,Zhang Lipeng,Sai Wang,3.0,-4.153424657534245,,-2.539999999999992
UFC Fight Night: Kim vs Hathaway ,Matt Mitrione  vs. Shawn Jordan ,Heavyweight Bout,KO/TKO,1,4:59,Punch to Head In Clinch ,Matt Mitrione,Shawn Jordan,3.0,6.2739726027397325,17.78,7.6200000000000045
UFC Fight Night: Kim vs Hathaway ,Hatsu Hioki  vs. Ivan Menjivar ,Featherweight Bout,Decision,3,5:00,Ben Cartlidge 28 - 29.Mark Collett 28 - 29.Tom Harris 28 - 29.,Hatsu Hioki,Ivan Menjivar,3.0,-1.1342465753424662,22.859999999999985,12.700000000000017
UFC Fight Night: Kim vs Hathaway ,Kazuki Tokudome  vs. Yui Chul Nam ,Lightweight Bout,Decision,3,5:00,Tom Harris 27 - 29.Chris Watts 28 - 27.Howard Hughes 28 - 29.,Yui Chul Nam,Kazuki Tokudome,3.0,5.635616438356159,,-5.0800000000000125
UFC Fight Night: Kim vs Hathaway ,Nam Phan  vs. Vaughan Lee ,Bantamweight Bout,Decision,3,5:00,Ben Cartlidge 27 - 30.Tom Harris 27 - 30.Howard Hughes 26 - 30.,Vaughan Lee,Nam Phan,3.0,0.40821917808219155,-10.160000000000025,0.0
UFC Fight Night: Kim vs Hathaway ,Albert Cheng  vs. Anying Wang ,Welterweight Bout,KO/TKO,1,5:00,Eye Injury,Anying Wang,Albert Cheng,3.0,-6.156164383561652,,2.539999999999992
UFC Fight Night: Kim vs Hathaway ,Jumabieke Tuerxun  vs. Mark Eddiva ,Featherweight Bout,Decision,3,5:00,Mark Collett 27 - 30.Howard Hughes 27 - 30.Chris Watts 27 - 30.,Mark Eddiva,Jumabieke Tuerxun,3.0,0.16438356164383805,,2.539999999999992
UFC 170: Rousey vs McMann ,Ronda Rousey  vs. Sara McMann ,UFC Women's Bantamweight Title Bout,KO/TKO,1,1:06,Knee to Body In Clinch ,Ronda Rousey,Sara McMann,5.0,-6.358904109589041,0.0,2.5400000000000205
UFC 170: Rousey vs McMann ,Daniel Cormier  vs. Patrick Cummins ,Light Heavyweight Bout,KO/TKO,1,1:19,Punch to Head In Clinch ,Daniel Cormier,Patrick Cummins,3.0,1.663013698630138,-10.159999999999997,-7.6200000000000045
UFC 170: Rousey vs McMann ,Rory MacDonald  vs. Demian Maia ,Welterweight Bout,Decision,3,5:00,Lester Griffin 28 - 29.Chris Lee 28 - 29.Tony Weeks 28 - 29.,Rory MacDonald,Demian Maia,3.0,-11.715068493150675,10.159999999999997,-2.539999999999992
UFC 170: Rousey vs McMann ,Mike Pyle  vs. TJ Waldburger ,Welterweight Bout,KO/TKO,3,4:03,Elbows to Head From Mount ,Mike Pyle,TJ Waldburger,3.0,12.610958904109587,-2.539999999999992,2.539999999999992
UFC 170: Rousey vs McMann ,Robert Whittaker  vs. Stephen Thompson ,Welterweight Bout,KO/TKO,1,3:43,Punches to Head In Clinch ,Stephen Thompson,Robert Whittaker,3.0,7.860273972602734,5.0800000000000125,0.0
UFC 170: Rousey vs McMann ,Alexis Davis  vs. Jessica Eye ,Women's Bantamweight Bout,Decision,3,5:00,Junichiro Kamijo 28 - 29.Chris Lee 29 - 28.Marcos Rosales 28 - 29.,Alexis Davis,Jessica Eye,3.0,1.8109589041095902,5.0800000000000125,0.0
UFC 170: Rousey vs McMann ,Raphael Assuncao  vs. Pedro Munhoz ,Bantamweight Bout,Decision,3,5:00,Mark Smith 27 - 30.Lester Griffin 27 - 30.Tony Weeks 27 - 30.,Raphael Assuncao,Pedro Munhoz,3.0,4.139726027397259,2.539999999999992,-2.539999999999992
UFC 170: Rousey vs McMann ,Cody Gibson  vs. Aljamain Sterling ,Bantamweight Bout,Decision,3,5:00,Chris Lee 28 - 29.Mark Smith 28 - 29.Glenn Trowbridge 28 - 29.,Aljamain Sterling,Cody Gibson,3.0,-1.8876712328767056,0.0,-7.6200000000000045
UFC 170: Rousey vs McMann ,Zach Makovsky  vs. Josh Sampo ,Flyweight Bout,Decision,3,5:00,Lester Griffin 27 - 30.Junichiro Kamijo 28 - 29.Marcos Rosales 27 - 30.,Zach Makovsky,Josh Sampo,3.0,1.2657534246575395,0.0,0.0
UFC 170: Rousey vs McMann ,Rafaello Oliveira  vs. Erik Koch ,Lightweight Bout,KO/TKO,1,1:24,Punches to Head From Guard ,Erik Koch,Rafaello Oliveira,3.0,-6.693150684931503,0.0,5.0800000000000125
UFC 170: Rousey vs McMann ,Ernest Chavez  vs. Yosdenis Cedeno ,Lightweight Bout,Decision,3,5:00,Mark Smith 28 - 29.Tony Weeks 29 - 28.Junichiro Kamijo 27 - 30.,Ernest Chavez,Yosdenis Cedeno,3.0,1.6328767123287662,2.5400000000000205,0.0
UFC Fight Night: Machida vs Mousasi ,Lyoto Machida  vs. Gegard Mousasi ,Middleweight Bout,Decision,5,5:00,Richard Bertrand 46 - 49.Vinicius Lins 45 - 50.Tony Weeks 45 - 50.,Lyoto Machida,Gegard Mousasi,5.0,7.178082191780817,-5.079999999999984,-2.5400000000000205
UFC Fight Night: Machida vs Mousasi ,Jacare Souza  vs. Francis Carmont ,Middleweight Bout,Decision,3,5:00,Richard Bertrand 28 - 29.28 - 29.27 - 30.,Jacare Souza,Francis Carmont,3.0,1.846575342465762,-15.240000000000009,-5.0800000000000125
UFC Fight Night: Machida vs Mousasi ,Erick Silva  vs. Takenori Sato ,Welterweight Bout,KO/TKO,1,0:52,Punches to Head On Ground ,Erick Silva,Takenori Sato,3.0,0.9643835616438352,,5.079999999999984
UFC Fight Night: Machida vs Mousasi ,Viscardi Andrade  vs. Nicholas Musoke ,Welterweight Bout,Decision,3,5:00,Richard Bertrand 28 - 29.Marco Borges 28 - 29.Vinicius Lins 28 - 29.,Nicholas Musoke,Viscardi Andrade,3.0,-2.0767123287671225,0.0,2.539999999999992
UFC Fight Night: Machida vs Mousasi ,Charles Oliveira  vs. Andy Ogle ,Featherweight Bout,Submission,3,2:40,Triangle Choke From Bottom Guard ,Charles Oliveira,Andy Ogle,3.0,-0.665753424657531,12.700000000000017,5.0800000000000125
UFC Fight Night: Machida vs Mousasi ,Cristiano Marcello  vs. Joe Proctor ,Lightweight Bout,Decision,3,5:00,Richard Bertrand 28 - 29.Marco Borges 28 - 29.Tony Weeks 28 - 29.,Joe Proctor,Cristiano Marcello,3.0,-7.69041095890411,0.0,2.5400000000000205
UFC Fight Night: Machida vs Mousasi ,Rodrigo Damm  vs. Ivan Jorge ,Lightweight Bout,Decision,3,5:00,Richard Bertrand 28 - 29.Marco Borges 28 - 29.Vinicius Lins 28 - 29.,Rodrigo Damm,Ivan Jorge,3.0,0.7616438356164394,-5.079999999999984,-5.079999999999984
UFC Fight Night: Machida vs Mousasi ,Francisco Trinaldo  vs. Jesse Ronson ,Lightweight Bout,Decision,3,5:00,Vinicius Lins 28 - 29.Marco Borges 29 - 28.Tony Weeks 27 - 30.,Francisco Trinaldo,Jesse Ronson,3.0,7.339726027397248,0.0,-2.5400000000000205
UFC Fight Night: Machida vs Mousasi ,Iuri Alcantara  vs. Wilson Reis ,Bantamweight Bout,Decision,3,5:00,Tony Weeks 29 - 28.Richard Bertrand 27 - 30.Vinicius Lins 27 - 30.,Iuri Alcantara,Wilson Reis,3.0,4.42739726027397,15.240000000000009,12.699999999999989
UFC Fight Night: Machida vs Mousasi ,Felipe Arantes  vs. Maximo Blanco ,Featherweight Bout,Decision,3,5:00,Point Deducted: Low Blow by BlancoRichard Bertrand 27 - 29.Marco Borges 27 - 29.Tony Weeks 27 - 29.,Felipe Arantes,Maximo Blanco,3.0,-4.320547945205476,5.079999999999984,0.0
UFC Fight Night: Machida vs Mousasi ,Ildemar Alcantara  vs. Albert Tumenov ,Welterweight Bout,Decision,3,5:00,Marco Borges 29 - 28.Tony Weeks 28 - 29.Vinicius Lins 27 - 30.,Ildemar Alcantara,Albert Tumenov,3.0,9.109589041095887,12.700000000000017,7.6200000000000045
UFC Fight Night: Machida vs Mousasi ,Douglas Silva de Andrade  vs. Zubaira Tukhugov ,Featherweight Bout,Decision,3,5:00,Marco Borges 27 - 30.Richard Bertrand 28 - 29.Vinicius Lins 27 - 30.,Zubaira Tukhugov,Douglas Silva de Andrade,3.0,-5.56986301369863,0.0,2.539999999999992
UFC 169: Barao vs Faber 2 ,Renan Barao  vs. Urijah Faber ,UFC Bantamweight Title Bout,KO/TKO,1,3:42,Punch to Head At Distance ,Renan Barao,Urijah Faber,5.0,-7.723287671232889,7.6200000000000045,0.0
UFC 169: Barao vs Faber 2 ,Jose Aldo  vs. Ricardo Lamas ,UFC Featherweight Title Bout,Decision,5,5:00,Ricardo Almeida 46 - 49.Eric Colon 46 - 49.Cardo Urso 46 - 49.,Jose Aldo,Ricardo Lamas,5.0,-4.306849315068497,-2.539999999999992,-2.539999999999992
UFC 169: Barao vs Faber 2 ,Frank Mir  vs. Alistair Overeem ,Heavyweight Bout,Decision,3,5:00,Michelle Agustin 27 - 30.Tony Tamburrino 27 - 30.Dave Tirelli 27 - 30.,Alistair Overeem,Frank Mir,3.0,-0.9835616438356141,2.539999999999992,2.539999999999992
UFC 169: Barao vs Faber 2 ,John Lineker  vs. Ali Bagautinov ,Flyweight Bout,Decision,3,5:00,Michelle Agustin 28 - 29.Sue Sanidad 28 - 29.Dave Tirelli 28 - 29.,Ali Bagautinov,John Lineker,3.0,5.008219178082193,-5.0800000000000125,2.539999999999992
UFC 169: Barao vs Faber 2 ,Jamie Varner  vs. Abel Trujillo ,Lightweight Bout,KO/TKO,2,2:32,Punch to Head At Distance ,Abel Trujillo,Jamie Varner,3.0,1.0684931506849367,-2.539999999999992,0.0
UFC 169: Barao vs Faber 2 ,John Makdessi  vs. Alan Patrick ,Lightweight Bout,Decision,3,5:00,Ricardo Almeida 28 - 29.Sue Sanidad 28 - 29.Cardo Urso 27 - 30.,Alan Patrick,John Makdessi,3.0,1.7917808219178113,15.240000000000009,7.6200000000000045
UFC 169: Barao vs Faber 2 ,Chris Cariaso  vs. Danny Martinez ,Flyweight Bout,Decision,3,5:00,Michelle Agustin 28 - 29.Eric Colon 28 - 29.Tony Tamburrino 28 - 29.,Chris Cariaso,Danny Martinez,3.0,4.052054794520544,-7.6200000000000045,-7.619999999999976
UFC 169: Barao vs Faber 2 ,Nick Catone  vs. Tom Watson ,Middleweight Bout,Decision,3,5:00,Cardo Urso 29 - 28.Tony Tamburrino 28 - 29.Michelle Agustin 27 - 30.,Nick Catone,Tom Watson,3.0,0.8630136986301409,-2.539999999999992,-2.539999999999992
UFC 169: Barao vs Faber 2 ,Al Iaquinta  vs. Kevin Lee ,Lightweight Bout,Decision,3,5:00,Michelle Agustin 28 - 29.Eric Colon 28 - 29.Dave Tirelli 27 - 28.,Al Iaquinta,Kevin Lee,3.0,5.353424657534248,-17.78,2.5400000000000205
UFC 169: Barao vs Faber 2 ,Clint Hester  vs. Andy Enz ,Middleweight Bout,Decision,3,5:00,Sue Sanidad 27 - 30.Cardo Urso 27 - 30.Tony Tamburrino 26 - 30.,Clint Hester,Andy Enz,3.0,4.7342465753424605,-2.539999999999992,-2.539999999999992
UFC 169: Barao vs Faber 2 ,Anthony Rocco Martin  vs. Rashid Magomedov ,Lightweight Bout,Decision,3,5:00,Ricardo Almeida 28 - 29.Eric Colon 28 - 29.Cardo Urso 28 - 29.,Rashid Magomedov,Anthony Rocco Martin,3.0,5.035616438356165,-7.619999999999976,-7.6200000000000045
UFC 169: Barao vs Faber 2 ,Neil Magny  vs. Gasan Umalatov ,Welterweight Bout,Decision,3,5:00,Ricardo Almeida 28 - 29.Sue Sanidad 27 - 30.Dave Tirelli 27 - 30.,Neil Magny,Gasan Umalatov,3.0,-4.895890410958906,22.859999999999985,10.159999999999997
UFC on FOX: Henderson vs Thomson ,Benson Henderson  vs. Josh Thomson ,Lightweight Bout,Decision,5,5:00,Gabriel Sabaitis 48 - 47.Brian Puccillo 47 - 48.Sal D'amato 46 - 49.,Benson Henderson,Josh Thomson,5.0,-5.156164383561645,-2.539999999999992,-2.5400000000000205
UFC on FOX: Henderson vs Thomson ,Stipe Miocic  vs. Gabriel Gonzaga ,Heavyweight Bout,Decision,3,5:00,Sal D'amato 27 - 30.Tony Weeks 27 - 30.Clay Goodman 28 - 29.,Stipe Miocic,Gabriel Gonzaga,3.0,-3.2575342465753394,10.159999999999997,5.079999999999984
UFC on FOX: Henderson vs Thomson ,Donald Cerrone  vs. Adriano Martins ,Lightweight Bout,KO/TKO,1,4:40,Kick to Head At Distance ,Donald Cerrone,Adriano Martins,3.0,-0.2821917808219183,2.539999999999992,7.619999999999976
UFC on FOX: Henderson vs Thomson ,Darren Elkins  vs. Jeremy Stephens ,Featherweight Bout,Decision,3,5:00,Sal D'amato 28 - 29.Brian Puccillo 27 - 30.Gabriel Sabaitis 27 - 30.,Jeremy Stephens,Darren Elkins,3.0,-2.024657534246572,0.0,-2.5400000000000205
UFC on FOX: Henderson vs Thomson ,Alex Caceres  vs. Sergio Pettis ,Bantamweight Bout,Submission,3,4:39,Rear Naked Choke ,Alex Caceres,Sergio Pettis,3.0,5.164383561643831,10.159999999999997,10.160000000000025
UFC on FOX: Henderson vs Thomson ,Eddie Wineland  vs. Yves Jabouin ,Bantamweight Bout,KO/TKO,2,4:16,Punches to Head From Back Control ,Eddie Wineland,Yves Jabouin,3.0,-5.0794520547945226,2.539999999999992,0.0
UFC on FOX: Henderson vs Thomson ,Chico Camus  vs. Yaotzin Meza ,Bantamweight Bout,NC,3,5:00,Failed Drug Test by CamusKelvin Caldwell 27 - 30.Sal D'amato 28 - 29.Gabriel Sabaitis 28 - 29.,,,3.0,,,
UFC on FOX: Henderson vs Thomson ,Ramiro Hernandez  vs. Hugo Viana ,Bantamweight Bout,Decision,3,5:00,Kelvin Caldwell 28 - 29.Sal D'amato 28 - 29.Brian Puccillo 28 - 29.,Hugo Viana,Ramiro Hernandez,3.0,3.821917808219183,,-7.6200000000000045
UFC on FOX: Henderson vs Thomson ,Daron Cruickshank  vs. Mike Rio ,Lightweight Bout,KO/TKO,2,4:56,Kick to Head At DistanceWheel Kick,Daron Cruickshank,Mike Rio,3.0,-3.9342465753424705,5.079999999999984,-5.0800000000000125
UFC on FOX: Henderson vs Thomson ,George Sullivan  vs. Mike Rhodes ,Welterweight Bout,Decision,3,5:00,Sal D'amato 28 - 29.Gabriel Sabaitis 28 - 29.Tony Weeks 28 - 29.,George Sullivan,Mike Rhodes,3.0,8.734246575342468,-2.5400000000000205,-2.539999999999992
UFC on FOX: Henderson vs Thomson ,Walt Harris  vs. Nikita Krylov ,Heavyweight Bout,KO/TKO,1,0:25,Kick to Head At Distance ,Nikita Krylov,Walt Harris,3.0,-8.747945205479454,0.0,-5.0800000000000125
UFC Fight Night: Rockhold vs Philippou ,Luke Rockhold  vs. Constantinos Philippou ,Middleweight Bout,KO/TKO,1,2:31,Kick to Body At Distance ,Luke Rockhold,Constantinos Philippou,5.0,-4.887671232876713,10.160000000000025,10.159999999999997
UFC Fight Night: Rockhold vs Philippou ,Lorenz Larkin  vs. Brad Tavares ,Middleweight Bout,Decision,3,5:00,Richard Bertrand 28 - 29.Derek Cleary 28 - 29.Glenn Trowbridge 28 - 29.,Brad Tavares,Lorenz Larkin,3.0,-1.2986301369862971,5.0800000000000125,5.079999999999984
UFC Fight Night: Rockhold vs Philippou ,TJ Dillashaw  vs. Mike Easton ,Bantamweight Bout,Decision,3,5:00,Derek Cleary 27 - 30.Chris Lee 27 - 30.Glenn Trowbridge 27 - 30.,TJ Dillashaw,Mike Easton,3.0,-2.0383561643835577,-7.6200000000000045,0.0
UFC Fight Night: Rockhold vs Philippou ,Yoel Romero  vs. Derek Brunson ,Middleweight Bout,KO/TKO,3,3:23,Elbows to Body On Ground ,Yoel Romero,Derek Brunson,3.0,6.68493150684931,-10.160000000000025,-2.539999999999992
UFC Fight Night: Rockhold vs Philippou ,John Moraga  vs. Dustin Ortiz ,Flyweight Bout,Decision,3,5:00,Richard Bertrand 28 - 29.Glenn Trowbridge 29 - 28.Nate Mann 28 - 29.,John Moraga,Dustin Ortiz,3.0,4.769863013698625,2.539999999999992,2.539999999999992
UFC Fight Night: Rockhold vs Philippou ,Cole Miller  vs. Sam Sicilia ,Featherweight Bout,Submission,2,1:54,Rear Naked Choke ,Cole Miller,Sam Sicilia,3.0,1.7698630136986324,15.23999999999998,12.699999999999989
UFC Fight Night: Rockhold vs Philippou ,Ramsey Nijem  vs. Justin Edwards ,Lightweight Bout,Decision,3,5:00,Ken Coffey 27 - 30.Derek Cleary 28 - 29.Glenn Trowbridge 28 - 29.,Ramsey Nijem,Justin Edwards,3.0,-5.183561643835617,12.699999999999989,2.539999999999992
UFC Fight Night: Rockhold vs Philippou ,Isaac Vallie-Flagg  vs. Elias Silverio ,Lightweight Bout,Decision,3,5:00,Point Deducted: Illegal Knee by SilverioRichard Bertrand 27 - 29.Chris Lee 27 - 29.Nate Mann 27 - 29.,Elias Silverio,Isaac Vallie-Flagg,3.0,-8.463013698630142,7.619999999999976,7.6200000000000045
UFC Fight Night: Rockhold vs Philippou ,Trevor Smith  vs. Brian Houston ,Middleweight Bout,Decision,3,5:00,Richard Bertrand 28 - 29.Derek Cleary 29 - 28.Ken Coffey 28 - 29.,Trevor Smith,Brian Houston,3.0,0.3041095890410972,,2.539999999999992
UFC Fight Night: Rockhold vs Philippou ,Alptekin Ozkilic  vs. Louis Smolka ,Flyweight Bout,Decision,3,5:00,Derek Cleary 28 - 29.Chris Lee 28 - 29.Nate Mann 28 - 29.,Louis Smolka,Alptekin Ozkilic,3.0,-5.306849315068497,7.6200000000000045,10.159999999999997
UFC Fight Night: Rockhold vs Philippou ,Vinc Pichel  vs. Garett Whiteley ,Lightweight Bout,Decision,3,5:00,Richard Bertrand 27 - 30.Ken Coffey 27 - 30.Glenn Trowbridge 27 - 30.,Vinc Pichel,Garett Whiteley,3.0,-1.9452054794520635,0.0,-5.079999999999984
UFC Fight Night: Rockhold vs Philippou ,Charlie Brenneman  vs. Beneil Dariush ,Lightweight Bout,Submission,1,1:45,Rear Naked Choke ,Beneil Dariush,Charlie Brenneman,3.0,-8.24109589041096,5.079999999999984,0.0
UFC Fight Night: Saffiedine vs Lim ,Tarec Saffiedine  vs. Hyun Gyu Lim ,Welterweight Bout,Decision,5,5:00,Mark Collett 46 - 49.Ben Cartlidge 47 - 48.Anthony Dimitriou 47 - 48.,Tarec Saffiedine,Hyun Gyu Lim,5.0,-1.6383561643835662,-17.78,-12.699999999999989
UFC Fight Night: Saffiedine vs Lim ,Tatsuya Kawajiri  vs. Sean Soriano ,Featherweight Bout,Submission,2,0:50,Rear Naked Choke ,Tatsuya Kawajiri,Sean Soriano,3.0,11.421917808219177,-2.5400000000000205,-5.079999999999984
UFC Fight Night: Saffiedine vs Lim ,Kiichi Kunimoto  vs. Luiz Dutra ,Welterweight Bout,DQ ,1,2:57,Elbows to Back of Head by Dutra,Kiichi Kunimoto,Luiz Dutra,3.0,1.0136986301369788,,-2.539999999999992
UFC Fight Night: Saffiedine vs Lim ,Kyung Ho Kang  vs. Shunichi Shimizu ,Bantamweight Bout,Submission,3,3:53,Arm Triangle From Mount ,Kyung Ho Kang,Shunichi Shimizu,3.0,-2.6054794520547873,,10.159999999999997
UFC Fight Night: Saffiedine vs Lim ,Max Holloway  vs. Will Chope ,Featherweight Bout,KO/TKO,2,2:27,Punch to Head In Clinch ,Max Holloway,Will Chope,3.0,-1.2383561643835606,,-12.699999999999989
UFC Fight Night: Saffiedine vs Lim ,Katsunori Kikuno  vs. Quinn Mulhern ,Lightweight Bout,Decision,3,5:00,Ben Cartlidge 27 - 30.Mark Collett 27 - 30.Charlie Keech 27 - 30.,Katsunori Kikuno,Quinn Mulhern,3.0,2.8904109589041056,,-17.78
UFC Fight Night: Saffiedine vs Lim ,Royston Wee  vs. Dave Galera ,Bantamweight Bout,Decision,3,5:00,Point Deducted: Illegal Kick by GaleraBen Cartlidge 26 - 30.Anthony Dimitriou 26 - 30.Barry Foley 26 - 30.,Royston Wee,Dave Galera,3.0,-8.846575342465755,,-10.159999999999997
UFC Fight Night: Saffiedine vs Lim ,Mairbek Taisumov  vs. Tae Hyun Bang ,Lightweight Bout,Decision,3,5:00,Mark Collett 27 - 30.Anthony Dimitriou 27 - 30.Charlie Keech 27 - 30.,Mairbek Taisumov,Tae Hyun Bang,3.0,-5.320547945205483,5.079999999999984,0.0
UFC Fight Night: Saffiedine vs Lim ,Dustin Kimura  vs. Jon Delos Reyes ,Bantamweight Bout,Submission,1,2:13,Armbar From Bottom Guard ,Dustin Kimura,Jon Delos Reyes,3.0,-1.7561643835616465,10.159999999999997,2.5400000000000205
UFC Fight Night: Saffiedine vs Lim ,Leandro Issa  vs. Russell Doane ,Bantamweight Bout,Submission,2,4:59,Triangle Choke From Bottom GuardTechnical Submission,Russell Doane,Leandro Issa,3.0,-2.9013698630136986,2.5400000000000205,0.0
UFC 168: Weidman vs Silva 2 ,Chris Weidman  vs. Anderson Silva ,UFC Middleweight Title Bout,KO/TKO,2,1:16,toLeg Injury,Chris Weidman,Anderson Silva,5.0,-9.18356164383561,2.539999999999992,0.0
UFC 168: Weidman vs Silva 2 ,Ronda Rousey  vs. Miesha Tate ,UFC Women's Bantamweight Title Bout,Submission,3,0:58,Armbar On Ground ,Ronda Rousey,Miesha Tate,5.0,-0.45753424657534225,2.539999999999992,2.5400000000000205
UFC 168: Weidman vs Silva 2 ,Josh Barnett  vs. Travis Browne ,Heavyweight Bout,KO/TKO,1,1:00,Elbows to Head In Clinch ,Travis Browne,Josh Barnett,3.0,-4.684931506849317,2.539999999999992,7.6200000000000045
UFC 168: Weidman vs Silva 2 ,Jim Miller  vs. Fabricio Camoes ,Lightweight Bout,Submission,1,3:42,Armbar From Bottom Guard ,Jim Miller,Fabricio Camoes,3.0,-4.687671232876717,0.0,-5.0800000000000125
UFC 168: Weidman vs Silva 2 ,Dustin Poirier  vs. Diego Brandao ,Featherweight Bout,KO/TKO,1,4:54,Punches to Head From Guard ,Dustin Poirier,Diego Brandao,3.0,-1.652054794520545,20.319999999999993,5.079999999999984
UFC 168: Weidman vs Silva 2 ,Chris Leben  vs. Uriah Hall ,Middleweight Bout,KO/TKO,1,5:00,Stoppage Between Rounds,Uriah Hall,Chris Leben,3.0,-4.030136986301372,15.240000000000009,2.539999999999992
