FIGHTER,WEIGHT,AGE,HEIGHT,REACH,STANCE,SLpM,Str. Acc %,TD Avg 15min,TD Acc %,Sub. Avg 15min,SApM,Str. Def %,TD Def. %
Brett Albee,102.0582,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Albert,61.23492,39.18630136986302,172.72,172.72,Orthodox,3.05,0.49,0.0,0.0,6.1,2.82,0.35,0.5
Junior Albini,119.748288,34.76438356164383,190.5,187.96,Orthodox,3.98,0.51,1.54,0.37,0.0,6.08,0.52,1.0
Wes Albritton,85.275296,,177.8,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandra Albu,52.16308,35.43287671232877,157.48,160.02,Orthodox,4.83,0.47,2.27,0.5,0.4,5.56,0.38,0.77
Israel Albuquerque,83.91452,,,,Orthodox,0.32,0.13,0.0,0.0,0.0,3.34,0.25,0.0
Juan Alcain,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iuri Alcantara,61.23492,45.38082191780822,175.26,180.34,Southpaw,2.72,0.45,1.44,0.62,0.8,2.79,0.49,0.6
Ildemar Alcantara,83.91452,43.09041095890411,187.96,198.12,Orthodox,1.93,0.38,2.0,0.68,0.9,2.63,0.5,0.81
Alfonso Alcarez,65.77083999999999,55.53972602739726,160.02,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilbert Aldana,113.398,48.326027397260276,185.42000000000002,,Orthodox,2.91,0.54,2.57,0.4,0.0,6.26,0.26,0.33
Irene Aldana,61.23492,37.73424657534247,175.26,172.72,Orthodox,5.19,0.39,0.15,0.5,0.2,6.64,0.56,0.77
Hector Aldana,77.11064,37.33972602739726,180.34,182.88,Orthodox,3.59,0.38,0.93,1.0,0.0,5.08,0.59,0.0
Jose Alday,61.23492,34.26301369863014,170.18,172.72,Orthodox,3.13,0.44,0.0,0.0,0.0,3.13,0.58,0.57
Jose Aldo,61.23492,39.27945205479452,170.18,177.8,Orthodox,3.65,0.46,0.47,0.51,0.1,3.81,0.6,0.92
JJ Aldrich,56.699,33.21917808219178,165.1,170.18,Southpaw,3.96,0.47,0.75,0.26,0.0,4.32,0.61,0.67
